DTXSID,true_chemname,true_cas,esc
DTXSID9028043,Methyltin mercaptide,57583-35-4,Substances_in_contact_with_food; Product_manufacturing
DTXSID9028093,"Amines, tallow alkyl",61790-33-8,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9028095,"Fatty acids, tallow",61790-37-2,Bottled_and_finished_water_for_consumption; Product_manufacturing; Substances_in_contact_with_food; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID9028122,"Castor oil, dehydrated",64147-40-6,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9028124,"Resin acids and Rosin acids, hydrogenated, esters with pentaerythritol",64365-17-9,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9028172,"Distillates, petroleum, solvent-refined heavy paraffinic",64741-88-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9028209,Clay-treated paraffin waxes (petroleum),64742-43-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9028251,"Solvent naphtha, petroleum, heavy arom.",64742-94-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9028253,"Solvent naphtha, petroleum, heavy aliph.",64742-96-7,Active_ingredient_in_products; Pesticides; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID9028257,"Alkenes, C>10 alpha-",64743-02-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9028382,"Humic acids, sodium salts",68131-04-4,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID9028415,"Castor oil, oxidized",68187-84-8,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID9028461,"Quaternary ammonium compounds, di-C12-18-alkyldimethyl, chlorides",68391-05-9,Active_ingredient_in_products; Pesticides
DTXSID9028544,Molasses,68476-78-8,Active_ingredient_in_products; Pesticides; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID9028831,"Poly(oxy-1,2-ethanediyl),alpha-sulfo-omega-hydroxy-, C12-14-alkyl ethers, sodium salts",68891-38-3,Occupational_products; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9028887,"Fatty acids, C8-10",68937-75-7,Active_ingredient_in_products; Pesticides
DTXSID9028916,"Benzenesulfonic acid, mono-C11-13-branched alkyl derivs., calcium salts",68953-96-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9028918,"Sulfuric acid, mono-C12-18-alkyl esters, sodium salts",68955-19-1,Active_ingredient_in_products; Pesticides
DTXSID9028968,"Hydrocarbons, C6-30",69430-33-7,Active_ingredient_in_products; Pesticides
DTXSID9029061,"Hexanol, acetate, branched and linear",88230-35-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9029065,"Acetic acid, C6-8-branched alkyl esters",90438-79-2,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9029067,Anthracene oil,90640-80-5,Active_ingredient_in_products; Pesticides
DTXSID9029142,tert-Butyl peroxyacetate,107-71-1,Bottled_and_finished_water_for_consumption; Product_manufacturing; Substances_in_contact_with_food
DTXSID9029146,4-Methylmorpholine,109-02-4,Children_products_and_toys; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9029221,Clopyralid,1702-17-6,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed; Bottled_and_finished_water_for_consumption; Groundwater; Surface_water
DTXSID9029227,Pentyl 2-hydroxybenzoate,2050-08-0,Air_near_source; Household_care_and_cleaning_products; Chemicals_that_emit_or_offgas; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9029273,C.I. Pigment Red 179,5521-31-3,Product_manufacturing; Substances_in_contact_with_food
DTXSID9029300,Polysorbate 60,9005-67-8,Children_products_and_toys; Personal_care; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use; Pharmaceutical
DTXSID9029304,Glyceryl stearate,11099-07-3,Children_products_and_toys; Personal_care; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID9029350,Oxamyl oxime,30558-43-1,Food; Pesticides
DTXSID9029358,"[[(Phosphonomethyl)imino]bis[6,1-hexanediylnitrilobis(methylene)]]tetrakis-phosphonic acid",34690-00-1,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9029431,Bone meal,68409-75-6,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID9029435,"Fatty acids, linseed-oil",68424-45-3,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9029483,"Imidazolium compounds, 1-[2-(carboxymethoxy)ethyl]-1-(carboxymethyl)-4,5-dihydro-2-norcoco alkyl, hydroxides, inner salts, disodium salts",68650-39-5,Active_ingredient_in_products; Pesticides; Children_products_and_toys; Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID9029560,"Fatty acids, linseed-oil, reaction products with 2-amino-2-(hydroxymethyl)-1,3-propanediol and formaldehyde",80584-99-2,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9029643,Hydrogen,1333-74-0,Bottled_and_finished_water_for_consumption; Product_manufacturing; Substances_in_contact_with_food; Pharmaceutical
DTXSID9029645,Ammonium hydrogen difluoride,1341-49-7,Active_ingredient_in_products; Pesticides; Substances_in_contact_with_food; Occupational_products
DTXSID9029647,Sodium silicate,1344-09-8,Active_ingredient_in_products; Pesticides; Bottled_and_finished_water_for_consumption; Product_manufacturing; Occupational_products; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID9029649,"1,3-Benzenedimethanamine",1477-55-0,Substances_in_contact_with_food; Bottled_and_finished_water_for_consumption; Product_manufacturing
DTXSID9029691,Diammonium peroxydisulfate,7727-54-0,Petrochemicals; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9029695,Ferrous chloride,7758-94-3,Bottled_and_finished_water_for_consumption; Product_manufacturing
DTXSID9029699,Calcium sulfate,7778-18-9,Food_supplement; Food_additive; Product_manufacturing; Personal_care; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID9029722,Lead oxide sulfate (Pb2O(SO4)?),12036-76-9,Bottled_and_finished_water_for_consumption; Product_manufacturing
DTXSID9029726,Tetralead trioxide sulfate,12202-17-4,Bottled_and_finished_water_for_consumption; Product_manufacturing
DTXSID9029772,Disodium hexadecyl(sulfophenoxy)benzenesulfonate,65143-89-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9029776,Sodium mono-C8-18-alkyl sulfates,68130-43-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9029851,Hydrated silica,112926-00-8,Children_products_and_toys; Personal_care; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID9031066,"Copper(II) sulfate, pentahydrate",7758-99-8,Active_ingredient_in_products; Pesticides; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID9032113,Tebuconazole,107534-96-3,Active_ingredient_in_products; Pesticides; Food; Bottled_and_finished_water_for_consumption; Groundwater; Crops_and_animal_feed; Surface_water
DTXSID9032327,Bendiocarb,22781-23-3,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed; Bottled_and_finished_water_for_consumption
DTXSID9032329,Bensulide,741-58-2,Active_ingredient_in_products; Pesticides; Food
DTXSID9032371,Dienochlor,2227-17-0,Active_ingredient_in_products; Pesticides
DTXSID9032375,Diflufenzopyr-sodium,109293-98-3,Active_ingredient_in_products; Pesticides; Food
DTXSID9032379,Dithiopyr,97886-45-8,Active_ingredient_in_products; Pesticides
DTXSID9032406,Fosamine ammonium,25954-13-6,Active_ingredient_in_products; Pesticides
DTXSID9032531,Bromuconazole,116255-48-2,Active_ingredient_in_products; Pesticides
DTXSID9032533,Chlorfenapyr,122453-73-0,Active_ingredient_in_products; Pesticides; Crops_and_animal_feed; Food
DTXSID9032535,Trinexapac-ethyl,95266-40-3,Active_ingredient_in_products; Pesticides
DTXSID9032537,Didecyldimethylammonium chloride,7173-51-5,Active_ingredient_in_products; Pesticides; Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID9032539,Diethatyl-ethyl,38727-55-8,Active_ingredient_in_products; Pesticides
DTXSID9032581,Zoxamide,156052-68-5,Active_ingredient_in_products; Pesticides; Food
DTXSID9032589,Bromadiolone,28772-56-7,Active_ingredient_in_products; Pesticides
DTXSID9032610,Etofenprox,80844-07-1,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed; Pharmaceutical
DTXSID9032614,Fluchloralin,33245-39-5,Active_ingredient_in_products; Pesticides
DTXSID9032662,Decyl isononyl dimethyl ammonium chloride,138698-36-9,Active_ingredient_in_products; Pesticides
DTXSID90335035,Phenyl hexanoate,7780-16-7,Air_near_source; Chemicals_that_emit_or_offgas; General_consumer_product
DTXSID9033923,Procymidone,32809-16-8,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed
DTXSID9033971,Sesame oil,8008-74-0,Active_ingredient_in_products; Pesticides; Children_products_and_toys; Personal_care; Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID9034230,"Imazapyr, isopropylamine salt",81510-83-0,Active_ingredient_in_products; Pesticides
DTXSID9034238,"2,4-Dichlorophenoxyacetic acid diethanolamine",5742-19-8,Active_ingredient_in_products; Pesticides
DTXSID9034282,4-Chlorophenoxyacetic acid,122-88-3,Active_ingredient_in_products; Pesticides
DTXSID9034284,"Bromacil, lithium salt",53404-19-6,Active_ingredient_in_products; Pesticides
DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,26172-55-4,Active_ingredient_in_products; Pesticides; Substances_in_contact_with_food; Children_products_and_toys; Personal_care; Household_care_and_cleaning_products; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID9034288,"5-Hydroxymethoxymethyl-1-aza-3,7-dioxabicyclo(3.3.0)octane",59720-42-2,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9034317,Benzalkonium chloride,8001-54-5,Active_ingredient_in_products; Pesticides; Occupational_products; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pharmaceutical
DTXSID9034361,Denatonium saccharide,90823-38-4,Active_ingredient_in_products; Pesticides
DTXSID9034367,Dicamba-diolamine,25059-78-3,Active_ingredient_in_products; Pesticides
DTXSID9034369,Dicamba-dimethylammonium,2300-66-5,Active_ingredient_in_products; Pesticides
DTXSID9034440,Chlorflurenol-methyl (mixture),37339-61-0,Active_ingredient_in_products; Pesticides
DTXSID9034490,Cyanamide,420-04-2,Active_ingredient_in_products; Pesticides
DTXSID9034492,Cyazofamid,120116-88-3,Active_ingredient_in_products; Pesticides; Food
DTXSID9034496,Prohexadione-calcium,127277-53-6,Active_ingredient_in_products; Pesticides; Food
DTXSID9034650,Halosulfuron-methyl,100784-20-1,Active_ingredient_in_products; Pesticides; Surface_water
DTXSID9034737,Metiram,9006-42-2,Active_ingredient_in_products; Pesticides; Food
DTXSID9034781,Oil of eucalyptus,8000-48-4,Active_ingredient_in_products; Pesticides; Children_products_and_toys; Personal_care; General_consumer_product; Occupational_products; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID9034783,Oil of lemongrass,8007-02-1,Active_ingredient_in_products; Pesticides; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID9034785,Oil of rosemary,8000-25-7,Active_ingredient_in_products; Personal_care; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID9034816,Monocrotophos,6923-22-4,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed
DTXSID9034818,Azamethiphos,35575-96-3,Active_ingredient_in_products; Pesticides
DTXSID9034864,Propoxycarbazone-sodium,181274-15-7,Active_ingredient_in_products; Pesticides
DTXSID9034868,Prosulfuron,94125-34-5,Active_ingredient_in_products; Pesticides; Food; Bottled_and_finished_water_for_consumption
DTXSID9034941,Sulfur,7704-34-9,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed; Home_maintenance_ and_building_materials; Bottled_and_finished_water_for_consumption; Product_manufacturing; Personal_care; Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID9034945,Sulfuryl fluoride,2699-79-8,Active_ingredient_in_products; Pesticides
DTXSID9034997,Tributyltetradecylphosphonium chloride,81741-28-8,Active_ingredient_in_products; Pesticides
DTXSID9035175,Kinetin,525-79-1,Active_ingredient_in_products; Pesticides; Food; Crops_and_animal_feed
DTXSID9035204,Tributyltin methacrylate,2155-70-6,Active_ingredient_in_products; Pesticides
DTXSID9035206,Diallyl disulfide,2179-57-9,Active_ingredient_in_products; Pesticides
DTXSID9035543,(Z)-8-Dodecen-1-ol acetate,28079-04-1,Active_ingredient_in_products; Pesticides
DTXSID9035549,Octyl decyl dimethyl ammonium chloride,32426-11-2,Active_ingredient_in_products; Pesticides; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID9035672,"Phosphoric acid, Iron(3+) salt (1:1)",10045-86-0,Active_ingredient_in_products; Pesticides; Product_manufacturing
DTXSID9035674,Gypsum (Ca(SO4).2H2O),13397-24-5,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID9035676,"Perboric acid, sodium salt, monohydrate",10332-33-9,Active_ingredient_in_products; Pesticides
DTXSID9035678,Trimedlure,12002-53-8,Active_ingredient_in_products; Pesticides
DTXSID9035751,"7,11-Hexadecadien-1-ol, acetate, (Z,Z)-",52207-99-5,Active_ingredient_in_products; Pesticides
DTXSID9035753,Ethyl 3-(N-butylacetamido)propionate,52304-36-6,Active_ingredient_in_products; Pesticides; Personal_care
DTXSID9035757,Potassium 4-(2-methylbutan-2-yl)phenolate,53404-18-5,Active_ingredient_in_products; Pesticides
DTXSID9035961,Dipotassium phosphite,13492-26-7,Active_ingredient_in_products; Pesticides
DTXSID9036226,Sodium octyl sulfate,142-31-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9036307,Pentasodium triphosphate,7758-29-4,Active_ingredient_in_products; Pesticides; Human_food_from_animals; Children_products_and_toys; Personal_care; Household_care_and_cleaning_products; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID9036438,Bumetrizole,3896-11-5,Substances_in_contact_with_food; General_consumer_product; Bottled_and_finished_water_for_consumption; Product_manufacturing; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides; Pharmaceutical
DTXSID9036480,Butyl 9(or 10)-sulfooxystearate sodium salt,42808-36-6,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9036488,"Benzenepropanoic acid, 3-(2H-benzotriazol-2-yl)-5-(1,1-dimethylethyl)-4-hydroxy-, methyl ester",84268-33-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9036515,Testosterone propionate,57-85-2,Active_ingredient_in_products; General_consumer_product
DTXSID9036690,Diisobutyl adipate,141-04-8,Arts_and_crafts_or_office_supplies; Children_products_and_toys; Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9036933,Sodium hexafluorosilicate,16893-85-9,Active_ingredient_in_products; Pesticides; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID9037030,C.I. Acid Blue 40,6424-85-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9037539,Endosulfan I,959-98-8,Food; Pesticides; Human_food_from_animals; Surface_water
DTXSID9037612,Triazophos,24017-47-8,Active_ingredient_in_products; Pesticides; Crops_and_animal_feed
DTXSID9037616,Diketometribuzin,56507-37-0,Groundwater; Pesticides
DTXSID9037745,4-tert-Butylphenyl salicylate,87-18-3,Personal_care; Substances_in_contact_with_food
DTXSID9038420,Trichloronat,327-98-0,Active_ingredient_in_products; Pesticides
DTXSID9039234,Aluminum potassium sulfate,10043-67-1,Active_ingredient_in_products; Pesticides; Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID9040186,Valerian,8008-88-6,Active_ingredient_in_products; Pesticides
DTXSID9040265,Dinitramine,29091-05-2,Active_ingredient_in_products; Pesticides
DTXSID9040269,Binapacryl,485-31-4,Active_ingredient_in_products; Pesticides
DTXSID9040342,Butylene carbonate,4437-85-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9040344,Iron(II) sulfate heptahydrate,7782-63-0,Active_ingredient_in_products; Pesticides; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID9040477,Ferric ammonium citrate,1185-57-5,Food_supplement; Food_additive; Occupational_products
DTXSID9040504,Infliximab,170277-31-3,General_consumer_product; Pharmaceutical
DTXSID9040554,Moclobemide,71320-77-9,General_consumer_product; Pharmaceutical
DTXSID9040683,Megestrol acetate,595-33-5,Active_ingredient_in_products; Pharmaceutical
DTXSID9041023,"(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid",10417-94-4,Personal_care; General_consumer_product; Pharmaceutical
DTXSID9041075,Neostigmine bromide,114-80-7,General_consumer_product; Pharmaceutical
DTXSID9041152,(+/-)-Verapamil,52-53-9,Surface_water; Bottled_and_finished_water_for_consumption; Pharmaceutical
DTXSID9041233,"Tetrasodium 1,3,6,8-pyrenetetrasulfonate",59572-10-0,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041235,"1,3-Benzenediol, 2,4-bis[(dimethylphenyl)azo]-",29190-28-1,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041237,alpha-Terpinene,99-86-5,Air_near_source; General_consumer_product; Chemicals_that_emit_or_offgas; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041281,"1-Propanaminium, 3-[(2-ethylhexyl)oxy]-2-hydroxy-N-(2-hydroxy-3-sulfopropyl)-N,N-dimethyl-, inner salt",108797-85-9,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041283,"1-Propanaminium, N-(carboxymethyl)-N,N-dimethyl-3-[(1-oxotetradecyl)amino]-, inner salt",59272-84-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041285,Sodium 3-[[3-(dimethylamino)propyl][(perfluorooctyl)sulfonyl]amino]-2-hydroxypropanesulfonate,94133-90-1,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041289,"Myristyltrimethylammonium chlorideN,N,N-Trimethyltetradecan-1-aminium chloride",4574-04-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041310,"2,2-Dichloro-N-isopropylacetanilide",39105-95-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041362,"2,4-Dichlorobenzyl alcohol",1777-82-8,Active_ingredient_in_products; Pesticides
DTXSID9041447,2-Phenylhexane,6031-02-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041491,3-Phenyl-2-propen-1-ol,104-54-1,Children_products_and_toys; Personal_care; Household_care_and_cleaning_products; Vehicles; General_consumer_product; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041493,"3-Pyridinecarbonitrile, 1-butyl-5-[(4-chlorophenyl)azo]-1,2-dihydro-6-hydroxy-4-methyl-2-oxo-",69808-32-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041520,4-Methylbenzaldehyde,104-87-0,Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041570,Chloroacetamide,79-07-2,Active_ingredient_in_products; Pesticides; Substances_in_contact_with_food
DTXSID9041651,Sodium pentadecylbenzenesulfonate,30227-71-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041653,Methyl 3-methylorsellinate,4707-47-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041655,Isoamyl salicylate,87-20-7,Household_care_and_cleaning_products; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041730,1-(Methylamino)-4-(2-hydroxyethylamino)anthraquinone,2475-46-9,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041732,C.I. Pigment Orange 36,12236-62-3,Arts_and_crafts_or_office_supplies; Product_manufacturing; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041734,C.I. Pigment Red 52,27757-95-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041736,C.I. Pigment Yellow 97,12225-18-2,Arts_and_crafts_or_office_supplies; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041738,Disperse Blue 19,4395-65-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041788,Cinerin II,121-20-0,Active_ingredient_in_products; Pesticides
DTXSID9041817,dl-Menthyl acetate,89-48-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041819,"Cyclohexene, 4-(1-methoxy-1-methylethyl)-1-methyl-",14576-08-0,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041861,Diethyl phosphite,762-04-9,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041863,Difenoxuron,14214-32-5,Active_ingredient_in_products; Pesticides
DTXSID9041867,Diisobutylnaphthalenesulfonic acid sodium salt,27213-90-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041869,Diisopropylnaphthalene,38640-62-9,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041940,"Amines, C16-C18 and C18-unsatd. alkyl, ethoxylated",68155-40-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041942,"Alcohols, C8-16, ethoxylated",71243-46-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041944,"Alcohols, C9-11, ethoxylated",68439-46-3,Household_care_and_cleaning_products; Occupational_products; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041946,"Alcohols, C10-16, ethoxylated propoxylated",69227-22-1,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041948,"Alcohols, C16-18, ethoxylated propoxylated",68002-96-0,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9041990,Formetanate,22259-30-9,Active_ingredient_in_products; Pesticides
DTXSID9042041,Glycerol monopalmitate,26657-96-5,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID9042043,"Hexahydro-1,3,5-tris(3-methoxypropyl)-s-triazine",3960-05-2,Active_ingredient_in_products; Pesticides
DTXSID9042049,Hydroprene,41096-46-2,Active_ingredient_in_products; Pesticides; Food
DTXSID9042093,Lenacil,2164-08-1,Active_ingredient_in_products; Pesticides
DTXSID9042099,Linoleic diethanolamide,56863-02-6,Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9042122,Mepiquat,15302-91-7,Active_ingredient_in_products; Pesticides
DTXSID9042178,N-(2-Hydroxyethyl)octadecanamide,111-57-9,Substances_in_contact_with_food; Children_products_and_toys; Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9042203,Nitralin,4726-14-1,Active_ingredient_in_products; Pesticides
DTXSID9042332,Clodinafop,114420-56-3,Active_ingredient_in_products; Pesticides
DTXSID9042334,"Propanoic acid, 2-hydroxy-, 2-ethylhexyl ester, (2S)-",186817-80-1,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9042336,(L)-(-)-Ethyl lactate,687-47-8,Artificial_liquids; Chemicals_that_emit_or_offgas; Children_products_and_toys; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9042380,"Silane, trimethoxy(2,4,4-trimethylpentyl)-",34396-03-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9042382,Tetrapropyl orthosilicate,682-01-9,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9042384,Silver(I) carbonate,534-16-7,Active_ingredient_in_products; Pesticides
DTXSID9042411,Sodium oleyl sulfate,1847-55-8,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9042413,Sodium 4-dodecylbenzenesulfonate,2211-98-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9042415,Sodium 4-methylbenzenesulfonate,657-84-1,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9042417,Sodium thiosulfate,7772-98-7,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use; Pharmaceutical
DTXSID9042463,Tetrakis(trimethylsiloxy)silane,3555-47-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9042465,Tetrasodium pyrophosphate,7722-88-5,Human_food_from_animals; General_consumer_product; Children_products_and_toys; Personal_care; Substances_in_contact_with_food; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID9042469,Thiometon,640-15-3,Active_ingredient_in_products; Pesticides
DTXSID9043720,Sodium cyanurate,2624-17-1,Active_ingredient_in_products; Pesticides
DTXSID9044112,Oxfendazole,53716-50-0,Active_ingredient_in_products; Pharmaceutical
DTXSID9044160,Manganese sulfate (1:1),7785-87-7,Active_ingredient_in_products; Pesticides; Food_supplement; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID9044166,Oxychlordane,27304-13-8,Human_food_from_animals; Pesticides; Bottled_and_finished_water_for_consumption
DTXSID9044168,"Protein, vegetable, hydrolyzed",100209-45-8,Children_products_and_toys; Personal_care
DTXSID9044243,Sodium polymetaphosphate,50813-16-6,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9044249,"Calcium (3,5-di-tert-butyl-4-hydroxybenzyl monoethyl phosphonate)",65140-91-2,Substances_in_contact_with_food; Bottled_and_finished_water_for_consumption; Product_manufacturing
DTXSID9044291,Oseltamivir,196618-13-0,General_consumer_product; Pharmaceutical
DTXSID9044376,D & C Green No. 6,128-80-3,Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides; Occupational_products; Pharmaceutical
DTXSID9044451,Methyl hydrogen adipate,627-91-8,Artificial_liquids; Chemicals_that_emit_or_offgas; Children_products_and_toys
DTXSID9044453,Sodium dodecanoate,629-25-4,Children_products_and_toys; Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9044532,D&C Blue No. 9,130-20-1,Personal_care; Occupational_products
DTXSID9044584,Selegiline hydrochloride,14611-52-0,General_consumer_product; Pharmaceutical
DTXSID9044613,"1,1'-Diazene-1,2-diyldicyclohexanecarbonitrile",2094-98-6,Bottled_and_finished_water_for_consumption; Product_manufacturing
DTXSID9044663,C.I. Acid Red 1,3734-67-6,Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9044823,Sodium methacrylate,5536-61-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID9044825,3-tert-Butylphenol,585-34-2,Chemicals_that_emit_or_offgas; General_consumer_product
DTXSID9044827,Propylene glycol diacetate,623-84-7,Artificial_liquids; Chemicals_that_emit_or_offgas; Children_products_and_toys
DTXSID9044829,"1-(4-tert-Butylphenyl)-3-(4-methoxyphenyl)propane-1,3-dione",70356-09-1,General_consumer_product; Personal_care; Pharmaceutical
